1	570	560	101.78	1.010
2	728	720	101.11	1.196
3	910	900	101.11	1.680
4	1112	1100	101.09	2.084
5	1232	1219	101.06	2.412
6	1355	1344	100.81	2.685
7	1490	1475	101.01	3.369
8	3926	3900	100.66	17.983
