#**************************Gen Graphs ********||**************Ke Graphs ***************

#Graph  #A1     #A2     #A3     #A4     #Ideal  #A1     #A2     #A3     #A4     #ideal
1	145	145	143	143	120	586	588	588	588	560
2	219	221	222	223	200	745	747	751	752	720
3	257	262	264	264	207	931	936	937	937	900
4	273	274	274	274	252	1136	1138	1139	1139	1100
5	414	419	419	419	390	1258	1260	1262	1263	1219
6	956	953	956	956	920	1385	1390	1391	1391	1344
7	1119	1124	1125	1125	1080	1515	1521	1523	1523	1475
8	1291	1297	1300	1299	1242	3968	3979	3982	3982	3900
