# This file plots number of epoch against
# mean set error. Seperate directories have
# seperate files.
5	6.653333333333333
10	4.986666666666666
15	3.9600000000000004
20	3.386666666666667
25	3.186666666666667
30	3.063333333333333
35	2.9366666666666665
40	2.8899999999999997
45	2.8666666666666667
50	2.8433333333333333
55	2.8233333333333333
60	2.7933333333333334
65	2.7866666666666666
70	2.78
75	2.77
80	2.7466666666666666
85	2.736666666666667
90	2.726666666666667
95	2.6933333333333334
100	2.666666666666667
105	2.6599999999999997
110	2.6533333333333333
115	2.65
120	2.64
125	2.6566666666666667
130	2.663333333333333
135	2.663333333333333
140	2.67
145	2.6866666666666665
150	2.7
155	2.726666666666667
160	2.63
165	3.063333333333333
170	4.043333333333334
175	3.356666666666667
180	3.186666666666667
185	3.6766666666666667
190	3.45
195	3.36
200	2.7199999999999998
205	3.353333333333333
210	3.5700000000000003
215	3.203333333333333
220	3.29
225	3.36
230	3.2433333333333336
235	3.3466666666666667
240	3.3133333333333335
245	3.3266666666666667
250	3.216666666666667
255	3.2300000000000004
260	1.7033333333333334
