#results for testing algorithms 

#Graph  #Vert   #Algo1 acc      algo2 acc       algo3 acc       algo4 acc       ideal   Al1Time Al2Time Al3Time Al4Time %Al1	%Al2	%Al3	%Al4	 	 
1	150	121		120		121		120		120	0.245	0.232	0.254	0.248   100.83  100	100.83	100
2	225	210		204		210		204		200	0.315	0.295	0.304	0.304	105	102	105	102
3	276	218		208		217		208		207	0.283	0.269	0.258	0.268	105.31	100.48	104.83	100.48
4	280	261		263		265		263		252	0.316	0.313	0.323	0.337	103.57	104.36	105.15	104.36
5	429	407		403		406		403		390	0.374	0.383	0.383	0.389	104.35	103.33	104.10	103.33
6	966	940		933		940		933		920	1.251	1.249	1.255	1.263	102.17	101.41	102.17	101.41
7	1140	1104		1096		1105		1096		1080	1.273	1.287	1.295	1.325	102.22	101.48	102.31	101.48	
8	1311	1288		1272		1286		1272		1242	2.610	2.614	2.587	2.625	103.70	102.41	103.54	102.41
