1	120	120	100.00	0.337
2	201	200	100.5	0.492
3	207	207	100.00	0.376
4	257	252	101.98	0.496
5	400	390	102.56	0.767
6	935	920	101.63	1.594
7	1095	1080	101.38	1.711
8	1279	1242	102.97	2.888
